serum,virus,replicate,concentration,fraction infectivity
SCH23-y2016-s037,unmutated,2,0.0003125,0.2274
SCH23-y2016-s037,unmutated,2,0.00015625,0.5165
SCH23-y2016-s037,unmutated,2,0.000078125,0.8374
SCH23-y2016-s037,unmutated,2,0.0000390625,0.7487
SCH23-y2016-s037,unmutated,2,0.00001953125,0.9375
SCH23-y2016-s037,unmutated,2,0.000009765625,1.0580
SCH23-y2009-s002,unmutated,1,0.01,-0.0095
SCH23-y2009-s002,unmutated,1,0.005,0.0653
SCH23-y2009-s002,unmutated,1,0.0025,0.0071
SCH23-y2009-s002,unmutated,1,0.00125,0.0276
SCH23-y2009-s002,unmutated,1,0.000625,0.1585
SCH23-y2009-s002,unmutated,1,0.0003125,0.3932
SCH23-y2009-s002,unmutated,1,0.00015625,0.7885
SCH23-y2009-s002,unmutated,1,0.000078125,0.8715
SCH23-y2009-s002,unmutated,1,0.0000390625,0.9511
SCH23-y2009-s002,unmutated,1,0.00001953125,0.9841
SCH23-y2009-s002,unmutated,2,0.01,0.0218
SCH23-y2009-s002,unmutated,2,0.005,0.0043
SCH23-y2009-s002,unmutated,2,0.0025,0.0130
SCH23-y2009-s002,unmutated,2,0.00125,-0.0369
SCH23-y2009-s002,unmutated,2,0.000625,0.1356
SCH23-y2009-s002,unmutated,2,0.0003125,0.4787
SCH23-y2009-s002,unmutated,2,0.00015625,0.7714
SCH23-y2009-s002,unmutated,2,0.000078125,0.8658
SCH23-y2009-s002,unmutated,2,0.0000390625,1.0023
SCH23-y2009-s002,unmutated,2,0.00001953125,1.0864
SCH23-y2009-s007,unmutated,1,0.01,0.0074
SCH23-y2009-s007,unmutated,1,0.005,-0.0151
SCH23-y2009-s007,unmutated,1,0.0025,0.0339
SCH23-y2009-s007,unmutated,1,0.00125,0.0780
SCH23-y2009-s007,unmutated,1,0.000625,0.2786
SCH23-y2009-s007,unmutated,1,0.0003125,0.5168
SCH23-y2009-s007,unmutated,1,0.00015625,0.7373
SCH23-y2009-s007,unmutated,1,0.000078125,0.8931
SCH23-y2009-s007,unmutated,1,0.0000390625,0.7817
SCH23-y2009-s007,unmutated,1,0.00001953125,0.9591
SCH23-y2009-s007,unmutated,2,0.01,-0.0250
SCH23-y2009-s007,unmutated,2,0.005,0.0477
SCH23-y2009-s007,unmutated,2,0.0025,0.0524
SCH23-y2009-s007,unmutated,2,0.00125,0.0723
SCH23-y2009-s007,unmutated,2,0.000625,0.3391
SCH23-y2009-s007,unmutated,2,0.0003125,0.5690
SCH23-y2009-s007,unmutated,2,0.00015625,0.6941
SCH23-y2009-s007,unmutated,2,0.000078125,0.8306
SCH23-y2009-s007,unmutated,2,0.0000390625,0.6975
SCH23-y2009-s007,unmutated,2,0.00001953125,0.9431
SCH23-y2021-s056,K189E,1,0.005,0.0015
SCH23-y2021-s056,K189E,1,0.0025,0.0699
SCH23-y2021-s056,K189E,1,0.00125,0.1900
SCH23-y2021-s056,K189E,1,0.000625,0.4442
SCH23-y2021-s056,K189E,1,0.0003125,0.5752
SCH23-y2021-s056,K189E,1,0.00015625,0.7206
SCH23-y2021-s056,K189E,1,0.000078125,0.7122
SCH23-y2021-s056,K189E,1,0.0000390625,0.9675
SCH23-y2021-s056,K189E,1,0.00001953125,1.0550
SCH23-y2021-s056,K189E,1,0.000009765625,0.9887
SCH23-y2021-s056,K189E,2,0.005,-0.0308
SCH23-y2021-s056,K189E,2,0.0025,0.1464
SCH23-y2021-s056,K189E,2,0.00125,0.2171
SCH23-y2021-s056,K189E,2,0.000625,0.5513
SCH23-y2021-s056,K189E,2,0.0003125,0.7362
SCH23-y2021-s056,K189E,2,0.00015625,0.8744
SCH23-y2021-s056,K189E,2,0.000078125,1.1086
SCH23-y2021-s056,K189E,2,0.0000390625,1.0508
SCH23-y2021-s056,K189E,2,0.00001953125,1.1397
SCH23-y2021-s056,K189E,2,0.000009765625,1.0099
SCH23-y2016-s037,K189E,1,0.005,-0.0115
SCH23-y2016-s037,K189E,1,0.0025,0.0757
SCH23-y2016-s037,K189E,1,0.00125,0.2190
SCH23-y2016-s037,K189E,1,0.000625,0.4754
SCH23-y2016-s037,K189E,1,0.0003125,0.7291
SCH23-y2016-s037,K189E,1,0.00015625,0.7545
SCH23-y2016-s037,K189E,1,0.000078125,0.9323
SCH23-y2016-s037,K189E,1,0.0000390625,1.0381
SCH23-y2016-s037,K189E,1,0.00001953125,1.1637
SCH23-y2016-s037,K189E,1,0.000009765625,0.9647
SCH23-y2016-s037,K189E,2,0.005,-0.0069
SCH23-y2016-s037,K189E,2,0.0025,0.0009
SCH23-y2016-s037,K189E,2,0.00125,0.2530
SCH23-y2016-s037,K189E,2,0.000625,0.4406
SCH23-y2016-s037,K189E,2,0.0003125,0.6614
SCH23-y2016-s037,K189E,2,0.00015625,0.9492
SCH23-y2016-s037,K189E,2,0.000078125,0.8829
SCH23-y2016-s037,K189E,2,0.0000390625,1.1764
SCH23-y2016-s037,K189E,2,0.00001953125,1.1157
SCH23-y2016-s037,K189E,2,0.000009765625,1.1834
SCH23-y2009-s002,K189E,1,0.01,1.0734
SCH23-y2009-s002,K189E,1,0.005,0.8772
SCH23-y2009-s002,K189E,1,0.0025,1.1891
SCH23-y2009-s002,K189E,1,0.00125,1.1919
SCH23-y2009-s002,K189E,1,0.000625,1.2187
SCH23-y2009-s002,K189E,1,0.0003125,0.8462
SCH23-y2009-s002,K189E,1,0.00015625,1.0395
SCH23-y2009-s002,K189E,1,0.000078125,1.1608
SCH23-y2009-s002,K189E,1,0.0000390625,1.1961
SCH23-y2009-s002,K189E,1,0.00001953125,1.0085
SCH23-y2009-s002,K189E,2,0.01,1.1129
SCH23-y2009-s002,K189E,2,0.005,1.1298
SCH23-y2009-s002,K189E,2,0.0025,1.1707
SCH23-y2009-s002,K189E,2,0.00125,1.2399
SCH23-y2009-s002,K189E,2,0.000625,1.1975
SCH23-y2009-s002,K189E,2,0.0003125,1.2088
SCH23-y2009-s002,K189E,2,0.00015625,1.2060
SCH23-y2009-s002,K189E,2,0.000078125,1.1721
SCH23-y2009-s002,K189E,2,0.0000390625,1.2102
SCH23-y2009-s002,K189E,2,0.00001953125,1.3485
SCH23-y2009-s007,K189E,1,0.01,0.3622
SCH23-y2009-s007,K189E,1,0.005,0.4873
SCH23-y2009-s007,K189E,1,0.0025,0.7277
SCH23-y2009-s007,K189E,1,0.00125,1.134
SCH23-y2009-s007,K189E,1,0.000625,1.1312
SCH23-y2009-s007,K189E,1,0.0003125,1.1397
SCH23-y2009-s007,K189E,1,0.00015625,1.0705
SCH23-y2009-s007,K189E,1,0.000078125,1.206
SCH23-y2009-s007,K189E,1,0.0000390625,1.0945
SCH23-y2009-s007,K189E,1,0.00001953125,0.9351
SCH23-y2009-s007,K189E,2,0.01,0.3543
SCH23-y2009-s007,K189E,2,0.005,0.5722
SCH23-y2009-s007,K189E,2,0.0025,0.7136
SCH23-y2009-s007,K189E,2,0.00125,0.7531
SCH23-y2009-s007,K189E,2,0.000625,0.8702
SCH23-y2009-s007,K189E,2,0.0003125,0.9407
SCH23-y2009-s007,K189E,2,0.00015625,0.8645
SCH23-y2009-s007,K189E,2,0.000078125,0.8448
SCH23-y2009-s007,K189E,2,0.0000390625,1.0282
SCH23-y2009-s007,K189E,2,0.00001953125,0.9915
SCH23-y2021-s056,S145N,1,0.005,-0.0261
SCH23-y2021-s056,S145N,1,0.0025,-0.0226
SCH23-y2021-s056,S145N,1,0.00125,-0.0135
SCH23-y2021-s056,S145N,1,0.000625,-0.0344
SCH23-y2021-s056,S145N,1,0.0003125,0.1638
SCH23-y2021-s056,S145N,1,0.00015625,0.4327
SCH23-y2021-s056,S145N,1,0.000078125,0.7376
SCH23-y2021-s056,S145N,1,0.0000390625,0.9863
SCH23-y2021-s056,S145N,1,0.00001953125,0.9277
SCH23-y2021-s056,S145N,1,0.000009765625,1.0705
SCH23-y2021-s056,S145N,2,0.005,0.0131
SCH23-y2021-s056,S145N,2,0.0025,0.0005
SCH23-y2021-s056,S145N,2,0.00125,0.0062
SCH23-y2021-s056,S145N,2,0.000625,0.0202
SCH23-y2021-s056,S145N,2,0.0003125,0.1871
SCH23-y2021-s056,S145N,2,0.00015625,0.5068
SCH23-y2021-s056,S145N,2,0.000078125,0.7442
SCH23-y2021-s056,S145N,2,0.0000390625,0.8463
SCH23-y2021-s056,S145N,2,0.00001953125,0.8558
SCH23-y2021-s056,S145N,2,0.000009765625,1.026
SCH23-y2016-s037,S145N,1,0.005,-0.0421
SCH23-y2016-s037,S145N,1,0.0025,-0.0295
SCH23-y2016-s037,S145N,1,0.00125,0.0131
SCH23-y2016-s037,S145N,1,0.000625,0.0753
SCH23-y2016-s037,S145N,1,0.0003125,0.1752
SCH23-y2016-s037,S145N,1,0.00015625,0.5674
SCH23-y2016-s037,S145N,1,0.000078125,0.7801
SCH23-y2016-s037,S145N,1,0.0000390625,0.8662
SCH23-y2016-s037,S145N,1,0.00001953125,1.0648
SCH23-y2016-s037,S145N,1,0.000009765625,0.9258
SCH23-y2016-s037,S145N,2,0.005,-0.0232
SCH23-y2016-s037,S145N,2,0.0025,-0.0112
SCH23-y2016-s037,S145N,2,0.00125,0.0033
SCH23-y2016-s037,S145N,2,0.000625,0.0441
SCH23-y2016-s037,S145N,2,0.0003125,0.2095
SCH23-y2016-s037,S145N,2,0.00015625,0.5267
SCH23-y2016-s037,S145N,2,0.000078125,0.6137
SCH23-y2016-s037,S145N,2,0.0000390625,0.8539
SCH23-y2016-s037,S145N,2,0.00001953125,1.3248
SCH23-y2016-s037,S145N,2,0.000009765625,0.9872
SCH23-y2009-s002,S145N,1,0.01,-0.0278
SCH23-y2009-s002,S145N,1,0.005,-0.0088
SCH23-y2009-s002,S145N,1,0.0025,0.0047
SCH23-y2009-s002,S145N,1,0.00125,0.1176
SCH23-y2009-s002,S145N,1,0.000625,0.3448
SCH23-y2009-s002,S145N,1,0.0003125,0.6629
SCH23-y2009-s002,S145N,1,0.00015625,0.8558
SCH23-y2009-s002,S145N,1,0.000078125,0.7726
SCH23-y2009-s002,S145N,1,0.0000390625,0.8917
SCH23-y2009-s002,S145N,1,0.00001953125,1.0128
SCH23-y2009-s002,S145N,2,0.01,-0.0011
SCH23-y2009-s002,S145N,2,0.005,-0.003
SCH23-y2009-s002,S145N,2,0.0025,0.0352
SCH23-y2009-s002,S145N,2,0.00125,0.0643
SCH23-y2009-s002,S145N,2,0.000625,0.2579
SCH23-y2009-s002,S145N,2,0.0003125,0.6534
SCH23-y2009-s002,S145N,2,0.00015625,0.7943
SCH23-y2009-s002,S145N,2,0.000078125,0.9901
SCH23-y2009-s002,S145N,2,0.0000390625,1.0572
SCH23-y2009-s002,S145N,2,0.00001953125,0.887
SCH23-y2009-s007,S145N,1,0.01,0.1394
SCH23-y2009-s007,S145N,1,0.005,0.322
SCH23-y2009-s007,S145N,1,0.0025,0.7962
SCH23-y2009-s007,S145N,1,0.00125,0.6704
SCH23-y2009-s007,S145N,1,0.000625,0.9191
SCH23-y2009-s007,S145N,1,0.0003125,0.8444
SCH23-y2009-s007,S145N,1,0.00015625,0.9608
SCH23-y2009-s007,S145N,1,0.000078125,1.0071
SCH23-y2009-s007,S145N,1,0.0000390625,0.7584
SCH23-y2009-s007,S145N,1,0.00001953125,1.0638
SCH23-y2009-s007,S145N,2,0.01,0.1011
SCH23-y2009-s007,S145N,2,0.005,0.3673
SCH23-y2009-s007,S145N,2,0.0025,0.5031
SCH23-y2009-s007,S145N,2,0.00125,0.6156
SCH23-y2009-s007,S145N,2,0.000625,0.8189
SCH23-y2009-s007,S145N,2,0.0003125,0.939
SCH23-y2009-s007,S145N,2,0.00015625,0.9645
SCH23-y2009-s007,S145N,2,0.000078125,0.9806
SCH23-y2009-s007,S145N,2,0.0000390625,0.9636
SCH23-y2009-s007,S145N,2,0.00001953125,0.9002
SCH23-y2021-s056,R229I,1,0.005,-0.0077
SCH23-y2021-s056,R229I,1,0.0025,-0.0004
SCH23-y2021-s056,R229I,1,0.00125,0.0037
SCH23-y2021-s056,R229I,1,0.000625,0.0138
SCH23-y2021-s056,R229I,1,0.0003125,0.0949
SCH23-y2021-s056,R229I,1,0.00015625,0.2728
SCH23-y2021-s056,R229I,1,0.000078125,0.6508
SCH23-y2021-s056,R229I,1,0.0000390625,0.8631
SCH23-y2021-s056,R229I,1,0.00001953125,0.8631
SCH23-y2021-s056,R229I,1,0.000009765625,0.9823
SCH23-y2021-s056,R229I,2,0.005,0.0301
SCH23-y2021-s056,R229I,2,0.0025,0.0637
SCH23-y2021-s056,R229I,2,0.00125,0.0333
SCH23-y2021-s056,R229I,2,0.000625,0.0541
SCH23-y2021-s056,R229I,2,0.0003125,0.1580
SCH23-y2021-s056,R229I,2,0.00015625,0.4110
SCH23-y2021-s056,R229I,2,0.000078125,0.6005
SCH23-y2021-s056,R229I,2,0.0000390625,0.9207
SCH23-y2021-s056,R229I,2,0.00001953125,1.0190
SCH23-y2021-s056,R229I,2,0.000009765625,1.0832
SCH23-y2016-s037,R229I,1,0.005,0.0544
SCH23-y2016-s037,R229I,1,0.0025,0.0831
SCH23-y2016-s037,R229I,1,0.00125,0.0335
SCH23-y2016-s037,R229I,1,0.000625,0.0487
SCH23-y2016-s037,R229I,1,0.0003125,0.1637
SCH23-y2016-s037,R229I,1,0.00015625,0.5831
SCH23-y2016-s037,R229I,1,0.000078125,0.7884
SCH23-y2016-s037,R229I,1,0.0000390625,0.8343
SCH23-y2016-s037,R229I,1,0.00001953125,0.9233
SCH23-y2016-s037,R229I,1,0.000009765625,1.0046
SCH23-y2016-s037,R229I,2,0.005,0.0641
SCH23-y2016-s037,R229I,2,0.0025,0.0769
SCH23-y2016-s037,R229I,2,0.00125,0.0109
SCH23-y2016-s037,R229I,2,0.000625,0.0819
SCH23-y2016-s037,R229I,2,0.0003125,0.2719
SCH23-y2016-s037,R229I,2,0.00015625,0.5491
SCH23-y2016-s037,R229I,2,0.000078125,0.7583
SCH23-y2016-s037,R229I,2,0.0000390625,1.0662
SCH23-y2016-s037,R229I,2,0.00001953125,0.9024
SCH23-y2016-s037,R229I,2,0.000009765625,0.8722
SCH23-y2009-s002,R229I,1,0.01,0.1253
SCH23-y2009-s002,R229I,1,0.005,0.2963
SCH23-y2009-s002,R229I,1,0.0025,0.6120
SCH23-y2009-s002,R229I,1,0.00125,0.8329
SCH23-y2009-s002,R229I,1,0.000625,0.8500
SCH23-y2009-s002,R229I,1,0.0003125,0.9889
SCH23-y2009-s002,R229I,1,0.00015625,1.0570
SCH23-y2009-s002,R229I,1,0.000078125,1.0151
SCH23-y2009-s002,R229I,1,0.0000390625,0.9993
SCH23-y2009-s002,R229I,1,0.00001953125,1.0321
SCH23-y2009-s002,R229I,2,0.01,0.1426
SCH23-y2009-s002,R229I,2,0.005,0.4501
SCH23-y2009-s002,R229I,2,0.0025,0.6561
SCH23-y2009-s002,R229I,2,0.00125,0.7072
SCH23-y2009-s002,R229I,2,0.000625,0.9967
SCH23-y2009-s002,R229I,2,0.0003125,1.0020
SCH23-y2009-s002,R229I,2,0.00015625,0.9207
SCH23-y2009-s002,R229I,2,0.000078125,0.9312
SCH23-y2009-s002,R229I,2,0.0000390625,1.0924
SCH23-y2009-s002,R229I,2,0.00001953125,1.0950
SCH23-y2009-s007,R229I,1,0.01,-0.0426
SCH23-y2009-s007,R229I,1,0.005,0.0494
SCH23-y2009-s007,R229I,1,0.0025,0.1668
SCH23-y2009-s007,R229I,1,0.00125,0.5227
SCH23-y2009-s007,R229I,1,0.000625,0.8775
SCH23-y2009-s007,R229I,1,0.0003125,0.9941
SCH23-y2009-s007,R229I,1,0.00015625,0.9312
SCH23-y2009-s007,R229I,1,0.000078125,1.0806
SCH23-y2009-s007,R229I,1,0.0000390625,1.0400
SCH23-y2009-s007,R229I,1,0.00001953125,0.9954
SCH23-y2009-s007,R229I,2,0.01,-0.0405
SCH23-y2009-s007,R229I,2,0.005,0.0189
SCH23-y2009-s007,R229I,2,0.0025,0.1166
SCH23-y2009-s007,R229I,2,0.00125,0.3788
SCH23-y2009-s007,R229I,2,0.000625,0.5764
SCH23-y2009-s007,R229I,2,0.0003125,0.8814
SCH23-y2009-s007,R229I,2,0.00015625,0.9928
SCH23-y2009-s007,R229I,2,0.000078125,0.7517
SCH23-y2009-s007,R229I,2,0.0000390625,0.9797
SCH23-y2009-s007,R229I,2,0.00001953125,0.9247
SCH23-y2021-s056,R220T,1,0.005,-0.0061
SCH23-y2021-s056,R220T,1,0.0025,0.0037
SCH23-y2021-s056,R220T,1,0.00125,-0.0033
SCH23-y2021-s056,R220T,1,0.000625,0.0039
SCH23-y2021-s056,R220T,1,0.0003125,0.0489
SCH23-y2021-s056,R220T,1,0.00015625,0.1035
SCH23-y2021-s056,R220T,1,0.000078125,0.4821
SCH23-y2021-s056,R220T,1,0.0000390625,0.5827
SCH23-y2021-s056,R220T,1,0.00001953125,0.7183
SCH23-y2021-s056,R220T,1,0.000009765625,1.0065
SCH23-y2021-s056,R220T,2,0.005,-0.0112
SCH23-y2021-s056,R220T,2,0.0025,0.0539
SCH23-y2021-s056,R220T,2,0.00125,0.0156
SCH23-y2021-s056,R220T,2,0.000625,0.0785
SCH23-y2021-s056,R220T,2,0.0003125,0.0982
SCH23-y2021-s056,R220T,2,0.00015625,0.1884
SCH23-y2021-s056,R220T,2,0.000078125,0.4975
SCH23-y2021-s056,R220T,2,0.0000390625,0.7314
SCH23-y2021-s056,R220T,2,0.00001953125,0.8696
SCH23-y2021-s056,R220T,2,0.000009765625,0.9126
SCH23-y2016-s037,R220T,1,0.005,0.0664
SCH23-y2016-s037,R220T,1,0.0025,0.1641
SCH23-y2016-s037,R220T,1,0.00125,0.1472
SCH23-y2016-s037,R220T,1,0.000625,0.1930
SCH23-y2016-s037,R220T,1,0.0003125,0.2187
SCH23-y2016-s037,R220T,1,0.00015625,0.5227
SCH23-y2016-s037,R220T,1,0.000078125,0.7079
SCH23-y2016-s037,R220T,1,0.0000390625,0.9857
SCH23-y2016-s037,R220T,1,0.00001953125,0.9583
SCH23-y2016-s037,R220T,1,0.000009765625,1.0782
SCH23-y2016-s037,R220T,2,0.005,0.0626
SCH23-y2016-s037,R220T,2,0.0025,0.1912
SCH23-y2016-s037,R220T,2,0.00125,0.2011
SCH23-y2016-s037,R220T,2,0.000625,0.1997
SCH23-y2016-s037,R220T,2,0.0003125,0.2330
SCH23-y2016-s037,R220T,2,0.00015625,0.4930
SCH23-y2016-s037,R220T,2,0.000078125,0.8657
SCH23-y2016-s037,R220T,2,0.0000390625,1.1148
SCH23-y2016-s037,R220T,2,0.00001953125,1.0704
SCH23-y2016-s037,R220T,2,0.000009765625,1.2061
SCH23-y2009-s002,R220T,1,0.01,0.1618
SCH23-y2009-s002,R220T,1,0.005,0.3230
SCH23-y2009-s002,R220T,1,0.0025,0.3279
SCH23-y2009-s002,R220T,1,0.00125,0.6453
SCH23-y2009-s002,R220T,1,0.000625,0.8683
SCH23-y2009-s002,R220T,1,0.0003125,1.0443
SCH23-y2009-s002,R220T,1,0.00015625,1.2165
SCH23-y2009-s002,R220T,1,0.000078125,1.1122
SCH23-y2009-s002,R220T,1,0.0000390625,1.1252
SCH23-y2009-s002,R220T,1,0.00001953125,0.9491
SCH23-y2009-s002,R220T,2,0.01,0.1059
SCH23-y2009-s002,R220T,2,0.005,0.2939
SCH23-y2009-s002,R220T,2,0.0025,0.3293
SCH23-y2009-s002,R220T,2,0.00125,0.5786
SCH23-y2009-s002,R220T,2,0.000625,0.9465
SCH23-y2009-s002,R220T,2,0.0003125,0.9830
SCH23-y2009-s002,R220T,2,0.00015625,1.3078
SCH23-y2009-s002,R220T,2,0.000078125,1.2673
SCH23-y2009-s002,R220T,2,0.0000390625,1.1891
SCH23-y2009-s002,R220T,2,0.00001953125,1.0730
SCH23-y2009-s007,R220T,1,0.01,-0.0067
SCH23-y2009-s007,R220T,1,0.005,0.1441
SCH23-y2009-s007,R220T,1,0.0025,0.2953
SCH23-y2009-s007,R220T,1,0.00125,0.4249
SCH23-y2009-s007,R220T,1,0.000625,0.7183
SCH23-y2009-s007,R220T,1,0.0003125,1.1591
SCH23-y2009-s007,R220T,1,0.00015625,1.0378
SCH23-y2009-s007,R220T,1,0.000078125,1.2465
SCH23-y2009-s007,R220T,1,0.0000390625,1.2282
SCH23-y2009-s007,R220T,1,0.00001953125,0.9883
SCH23-y2009-s007,R220T,2,0.01,0.0218
SCH23-y2009-s007,R220T,2,0.005,-0.0119
SCH23-y2009-s007,R220T,2,0.0025,0.0609
SCH23-y2009-s007,R220T,2,0.00125,0.2184
SCH23-y2009-s007,R220T,2,0.000625,0.6492
SCH23-y2009-s007,R220T,2,0.0003125,0.9270
SCH23-y2009-s007,R220T,2,0.00015625,0.8539
SCH23-y2009-s007,R220T,2,0.000078125,1.0235
SCH23-y2009-s007,R220T,2,0.0000390625,0.8748
SCH23-y2009-s007,R220T,2,0.00001953125,0.9935
SCH23-y2021-s056,S205Y,1,0.005,-0.0255
SCH23-y2021-s056,S205Y,1,0.0025,-0.0187
SCH23-y2021-s056,S205Y,1,0.00125,-0.0233
SCH23-y2021-s056,S205Y,1,0.000625,-0.0088
SCH23-y2021-s056,S205Y,1,0.0003125,0.0164
SCH23-y2021-s056,S205Y,1,0.00015625,0.3196
SCH23-y2021-s056,S205Y,1,0.000078125,0.7204
SCH23-y2021-s056,S205Y,1,0.0000390625,0.6550
SCH23-y2021-s056,S205Y,1,0.00001953125,0.8547
SCH23-y2021-s056,S205Y,1,0.000009765625,0.8045
SCH23-y2021-s056,S205Y,2,0.005,0.0144
SCH23-y2021-s056,S205Y,2,0.0025,0.0074
SCH23-y2021-s056,S205Y,2,0.00125,0.0456
SCH23-y2021-s056,S205Y,2,0.000625,0.0254
SCH23-y2021-s056,S205Y,2,0.0003125,0.1350
SCH23-y2021-s056,S205Y,2,0.00015625,0.3676
SCH23-y2021-s056,S205Y,2,0.000078125,0.6655
SCH23-y2021-s056,S205Y,2,0.0000390625,0.7589
SCH23-y2021-s056,S205Y,2,0.00001953125,0.9586
SCH23-y2021-s056,S205Y,2,0.000009765625,0.8920
SCH23-y2016-s037,S205Y,1,0.005,0.0185
SCH23-y2016-s037,S205Y,1,0.0025,0.0391
SCH23-y2016-s037,S205Y,1,0.00125,0.0192
SCH23-y2016-s037,S205Y,1,0.000625,0.0625
SCH23-y2016-s037,S205Y,1,0.0003125,0.1663
SCH23-y2016-s037,S205Y,1,0.00015625,0.4366
SCH23-y2016-s037,S205Y,1,0.000078125,0.7718
SCH23-y2016-s037,S205Y,1,0.0000390625,0.7729
SCH23-y2016-s037,S205Y,1,0.00001953125,0.9679
SCH23-y2016-s037,S205Y,1,0.000009765625,0.9807
SCH23-y2016-s037,S205Y,2,0.005,0.0183
SCH23-y2016-s037,S205Y,2,0.0025,0.0245
SCH23-y2016-s037,S205Y,2,0.00125,0.0133
SCH23-y2016-s037,S205Y,2,0.000625,0.0295
SCH23-y2016-s037,S205Y,2,0.0003125,0.1862
SCH23-y2016-s037,S205Y,2,0.00015625,0.5057
SCH23-y2016-s037,S205Y,2,0.000078125,0.7169
SCH23-y2016-s037,S205Y,2,0.0000390625,1.0053
SCH23-y2016-s037,S205Y,2,0.00001953125,0.9947
SCH23-y2016-s037,S205Y,2,0.000009765625,1.0193
SCH23-y2009-s002,S205Y,1,0.01,0.0899
SCH23-y2009-s002,S205Y,1,0.005,0.0535
SCH23-y2009-s002,S205Y,1,0.0025,0.2846
SCH23-y2009-s002,S205Y,1,0.00125,0.4313
SCH23-y2009-s002,S205Y,1,0.000625,0.6725
SCH23-y2009-s002,S205Y,1,0.0003125,0.7134
SCH23-y2009-s002,S205Y,1,0.00015625,0.8628
SCH23-y2009-s002,S205Y,1,0.000078125,0.9107
SCH23-y2009-s002,S205Y,1,0.0000390625,0.9049
SCH23-y2009-s002,S205Y,1,0.00001953125,1.0286
SCH23-y2009-s002,S205Y,2,0.01,0.0009
SCH23-y2009-s002,S205Y,2,0.005,0.1614
SCH23-y2009-s002,S205Y,2,0.0025,0.2295
SCH23-y2009-s002,S205Y,2,0.00125,0.4262
SCH23-y2009-s002,S205Y,2,0.000625,0.6854
SCH23-y2009-s002,S205Y,2,0.0003125,0.7251
SCH23-y2009-s002,S205Y,2,0.00015625,0.8185
SCH23-y2009-s002,S205Y,2,0.000078125,0.8768
SCH23-y2009-s002,S205Y,2,0.0000390625,0.9574
SCH23-y2009-s002,S205Y,2,0.00001953125,1.0555
SCH23-y2009-s007,S205Y,1,0.01,0.0105
SCH23-y2009-s007,S205Y,1,0.005,0.1119
SCH23-y2009-s007,S205Y,1,0.0025,0.2595
SCH23-y2009-s007,S205Y,1,0.00125,0.5593
SCH23-y2009-s007,S205Y,1,0.000625,0.6142
SCH23-y2009-s007,S205Y,1,0.0003125,0.8558
SCH23-y2009-s007,S205Y,1,0.00015625,0.8582
SCH23-y2009-s007,S205Y,1,0.000078125,0.9632
SCH23-y2009-s007,S205Y,1,0.0000390625,0.8395
SCH23-y2009-s007,S205Y,1,0.00001953125,0.8733
SCH23-y2009-s007,S205Y,2,0.01,0.0259
SCH23-y2009-s007,S205Y,2,0.005,0.0922
SCH23-y2009-s007,S205Y,2,0.0025,0.2436
SCH23-y2009-s007,S205Y,2,0.00125,0.5037
SCH23-y2009-s007,S205Y,2,0.000625,0.8126
SCH23-y2009-s007,S205Y,2,0.0003125,0.9609
SCH23-y2009-s007,S205Y,2,0.00015625,0.9095
SCH23-y2009-s007,S205Y,2,0.000078125,0.9130
SCH23-y2009-s007,S205Y,2,0.0000390625,0.9819
SCH23-y2009-s007,S205Y,2,0.00001953125,1.0204
