serum,virus,replicate,concentration,fraction infectivity
SCH23-y2021-s056,unmutated,1,0.005,-0.0116
SCH23-y2021-s056,unmutated,1,0.0025,0.0214
SCH23-y2021-s056,unmutated,1,0.00125,0.0024
SCH23-y2021-s056,unmutated,1,0.000625,-0.0020
SCH23-y2021-s056,unmutated,1,0.0003125,0.0821
SCH23-y2021-s056,unmutated,1,0.00015625,0.3995
SCH23-y2021-s056,unmutated,1,0.000078125,0.6577
SCH23-y2021-s056,unmutated,1,0.0000390625,0.9124
SCH23-y2021-s056,unmutated,1,0.00001953125,0.8749
SCH23-y2021-s056,unmutated,1,0.000009765625,0.9443
SCH23-y2021-s056,unmutated,2,0.005,0.0149
SCH23-y2021-s056,unmutated,2,0.0025,0.0309
SCH23-y2021-s056,unmutated,2,0.00125,0.0073
SCH23-y2021-s056,unmutated,2,0.000625,-0.0133
SCH23-y2021-s056,unmutated,2,0.0003125,0.0798
SCH23-y2021-s056,unmutated,2,0.00015625,0.3578
SCH23-y2021-s056,unmutated,2,0.000078125,0.5850
SCH23-y2021-s056,unmutated,2,0.0000390625,0.6975
SCH23-y2021-s056,unmutated,2,0.00001953125,0.9443
SCH23-y2021-s056,unmutated,2,0.000009765625,1.0159
SCH23-y2016-s037,unmutated,1,0.005,-0.0211
SCH23-y2016-s037,unmutated,1,0.0025,-0.0202
SCH23-y2016-s037,unmutated,1,0.00125,0.0738
SCH23-y2016-s037,unmutated,1,0.000625,0.0231
SCH23-y2016-s037,unmutated,1,0.0003125,0.1250
SCH23-y2016-s037,unmutated,1,0.00015625,0.4046
SCH23-y2016-s037,unmutated,1,0.000078125,0.6759
SCH23-y2016-s037,unmutated,1,0.0000390625,0.9659
SCH23-y2016-s037,unmutated,1,0.00001953125,1.0364
SCH23-y2016-s037,unmutated,1,0.000009765625,1.1467
SCH23-y2016-s037,unmutated,2,0.005,0.0315
SCH23-y2016-s037,unmutated,2,0.0025,-0.0206
SCH23-y2016-s037,unmutated,2,0.00125,-0.0241
SCH23-y2016-s037,unmutated,2,0.000625,0.0229
