sample,library,date,fastq_R1,notes
A-240609-no-antibody-1,A,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibA_no-antibody_1_S13_R1_001.fastq.gz,
A-240609-no-antibody-2,A,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibA_no-antibody_2_S14_R1_001.fastq.gz,
A-240609-VSVG-1,A,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibA_VSVG_1_S15_R1_001.fastq.gz,
A-240609-VSVG-2,A,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibA_VSVG_2_S16_R1_001.fastq.gz,
B-240609-no-antibody-1,B,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibB_no-antibody_1_S17_R1_001.fastq.gz,
B-240609-no-antibody-2,B,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibB_no-antibody_2_S18_R1_001.fastq.gz,
B-240609-VSVG-1,B,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibB_VSVG_1_S19_R1_001.fastq.gz,
B-240609-VSVG-2,B,20240609,/shared/ngs/illumina/aaditham/240617_VH01189_296_AAFT2YNM5/Unaligned/Project_aaditham/240609_LibB_VSVG_2_S20_R1_001.fastq.gz,
A-240628-no-antibody-1,A,20240628,/fh/fast/bloom_j/SR/ngs/illumina/tyu2/240703_VH00319_530_AAFT3MVM5/Unaligned/Project_tyu2/240628_LibA_no-antibody_1_S5_R1_001.fastq.gz,
A-240628-no-antibody-2,A,20240628,/fh/fast/bloom_j/SR/ngs/illumina/tyu2/240703_VH00319_530_AAFT3MVM5/Unaligned/Project_tyu2/240628_LibA_no-antibody_2_S6_R1_001.fastq.gz,
