biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
SAMN51424477	A_A-240609-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240609-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240609-no-antibody-1.fastq.gz
SAMN51424477	A_A-240609-no-antibody-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240609-no-antibody-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240609-no-antibody-2.fastq.gz
SAMN51424477	A_A-240609-VSVG-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240609-VSVG-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240609-VSVG-1.fastq.gz
SAMN51424477	A_A-240609-VSVG-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240609-VSVG-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240609-VSVG-2.fastq.gz
SAMN51424477	B_B-240609-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240609-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240609-no-antibody-1.fastq.gz
SAMN51424477	B_B-240609-no-antibody-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240609-no-antibody-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240609-no-antibody-2.fastq.gz
SAMN51424477	B_B-240609-VSVG-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240609-VSVG-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240609-VSVG-1.fastq.gz
SAMN51424477	B_B-240609-VSVG-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240609-VSVG-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240609-VSVG-2.fastq.gz
SAMN51424477	A_A-240628-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-no-antibody-1.fastq.gz
SAMN51424477	A_A-240628-no-antibody-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-no-antibody-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-no-antibody-2.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2021-s056-0.00165	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2021-s056-0.00165	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2021-s056-0.00165.fastq.gz
