biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
SAMN51424477	A_A-240628-SCH23-y2021-s056-0.00495	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2021-s056-0.00495	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2021-s056-0.00495.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2021-s056-0.0066	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2021-s056-0.0066	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2021-s056-0.0066.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2021-s056-0.0165	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2021-s056-0.0165	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2021-s056-0.0165.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2016-s037-0.00121	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2016-s037-0.00121	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2016-s037-0.00121.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2016-s037-0.00363	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2016-s037-0.00363	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2016-s037-0.00363.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2016-s037-0.00484	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2016-s037-0.00484	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2016-s037-0.00484.fastq.gz
SAMN51424477	A_A-240628-SCH23-y2016-s037-0.0121	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240628-SCH23-y2016-s037-0.0121	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240628-SCH23-y2016-s037-0.0121.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s002-0.0038	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s002-0.0038	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s002-0.0038.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s002-0.0154	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s002-0.0154	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s002-0.0154.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s002-0.0307	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s002-0.0307	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s002-0.0307.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s002-0.0614	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s002-0.0614	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s002-0.0614.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s007-0.0108	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s007-0.0108	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s007-0.0108.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s007-0.0324	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s007-0.0324	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s007-0.0324.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s007-0.0540	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s007-0.0540	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s007-0.0540.fastq.gz
SAMN51424477	A_A-240808-SCH23-y2009-s007-0.1080	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-SCH23-y2009-s007-0.1080	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-SCH23-y2009-s007-0.1080.fastq.gz
SAMN51424477	A_A-240808-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-no-antibody-1.fastq.gz
SAMN51424477	A_A-240808-no-antibody-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240808-no-antibody-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240808-no-antibody-2.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2021-s056-0.00165	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2021-s056-0.00165	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2021-s056-0.00165.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2021-s056-0.0066	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2021-s056-0.0066	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2021-s056-0.0066.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2021-s056-0.0165	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2021-s056-0.0165	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2021-s056-0.0165.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2016-s037-0.00121	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2016-s037-0.00121	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2016-s037-0.00121.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2016-s037-0.0048	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2016-s037-0.0048	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2016-s037-0.0048.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2016-s037-0.0121	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2016-s037-0.0121	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2016-s037-0.0121.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2009-s002-0.0038	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2009-s002-0.0038	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2009-s002-0.0038.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2009-s002-0.0154	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2009-s002-0.0154	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2009-s002-0.0154.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2009-s002-0.0307	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2009-s002-0.0307	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2009-s002-0.0307.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2009-s007-0.0108	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2009-s007-0.0108	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2009-s007-0.0108.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2009-s007-0.0324	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2009-s007-0.0324	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2009-s007-0.0324.fastq.gz
SAMN51424477	B_B-240822-SCH23-y2009-s007-0.0540	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-SCH23-y2009-s007-0.0540	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-SCH23-y2009-s007-0.0540.fastq.gz
SAMN51424477	B_B-240822-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-no-antibody-1.fastq.gz
SAMN51424477	B_B-240822-no-antibody-2	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240822-no-antibody-2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240822-no-antibody-2.fastq.gz
SAMN51424477	A_A-240928-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240928-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240928-no-antibody-1.fastq.gz
SAMN51424477	A_A-240928-pH-6.1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240928-pH-6.1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240928-pH-6.1.fastq.gz
SAMN51424477	A_A-240928-pH-5.9	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240928-pH-5.9	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240928-pH-5.9.fastq.gz
SAMN51424477	A_A-240928-pH-5.7	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240928-pH-5.7	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240928-pH-5.7.fastq.gz
SAMN51424477	A_A-240928-pH-5.5	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240928-pH-5.5	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240928-pH-5.5.fastq.gz
SAMN51424477	A_A-240928-pH-5.3	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing A-240928-pH-5.3	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	A_A-240928-pH-5.3.fastq.gz
SAMN51424477	B_B-240928-no-antibody-1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240928-no-antibody-1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240928-no-antibody-1.fastq.gz
SAMN51424477	B_B-240928-pH-6.1	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240928-pH-6.1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240928-pH-6.1.fastq.gz
SAMN51424477	B_B-240928-pH-5.9	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240928-pH-5.9	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240928-pH-5.9.fastq.gz
SAMN51424477	B_B-240928-pH-5.7	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240928-pH-5.7	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240928-pH-5.7.fastq.gz
SAMN51424477	B_B-240928-pH-5.5	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240928-pH-5.5	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240928-pH-5.5.fastq.gz
SAMN51424477	B_B-240928-pH-5.3	A/Massachusetts/18/2022(H3N2) HA DMS Illumina barcode sequencing B-240928-pH-5.3	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina NovaSeq X	Illumina barcode sequencing A/Massachusetts/18/2022(H3N2) HA	fastq	B_B-240928-pH-5.3.fastq.gz
