biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
SAMN51504917	A_A_240524_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/Massachusetts/18/2022(H3N2) HA deep mutational scanning A_A_240524_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	Sequel II	Genomes from infection with VSV-G pseuodotyped libraries	fastq	A_A_240524_PacBio_CCSs.fastq.gz
SAMN51504917	B_B_240524_PacBio_CCSs	PacBio CCSs linking variants to barcodes for A/Massachusetts/18/2022(H3N2) HA deep mutational scanning B_B_240524_PacBio_CCSs	Synthetic-Long-Read	SYNTHETIC	Restriction Digest	single	PACBIO_SMRT	Sequel II	Genomes from infection with VSV-G pseuodotyped libraries	fastq	B_B_240524_PacBio_CCSs.fastq.gz
